"","Original Position","Primary Prefix","Alternate Prefix","Local Identifier","Entity Identifier (e.g., IRI)","Identifier Namespace Path if Different","Identifier Resolution - Computable (y/n)","Identifier Resolution - Human Viewable (y/n)","Different Namespace for Human Readable Pages","Homepage","Description","Title","Source URL"
"12",12,"",NA,"apo","http://purl.obolibrary.org/obo/apo.owl","http://purl.obolibrary.org/obo/apo.owl","","","","http://www.yeastgenome.org/","A structured controlled vocabulary for the phenotypes of Ascomycete fungi","",""
"13",13,"",NA,"bcgo","http://purl.obolibrary.org/obo/bcgo.owl","http://purl.obolibrary.org/obo/bcgo.owl","","","","https://github.com/obi-bcgo/bcgo","An application ontology built for beta cell genomics studies.","",""
"14",14,"",NA,"bco","http://purl.obolibrary.org/obo/bco.owl","http://purl.obolibrary.org/obo/bco.owl","","","","https://github.com/tucotuco/bco","An ontology to support the interoperability of biodiversity data, including data on museum collections, environmental/metagenomic samples, and ecological surveys.","",""
"15",15,"BioPortal",NA,"bfo","http://purl.obolibrary.org/obo/bfo.owl","http://purl.obolibrary.org/obo/bfo.owl","","","http://bioportal.bioontology.org/ontologies/BFO?p=classes","http://ifomis.org/bfo/","The upper level ontology upon which OBO Foundry ontologies are built.","BioPortal Browser",""
"16",16,"",NA,"bspo","http://purl.obolibrary.org/obo/bspo.owl","http://purl.obolibrary.org/obo/bspo.owl","","","","https://github.com/obophenotype/biological-spatial-ontology","An ontology for respresenting spatial concepts, anatomical axes, gradients, regions, planes, sides, and surfaces","",""
"17",17,"",NA,"bto","http://purl.obolibrary.org/obo/bto.owl","http://purl.obolibrary.org/obo/bto.owl","","","","http://www.brenda-enzymes.info","A structured controlled vocabulary for the source of an enzyme comprising tissues, cell lines, cell types and cell cultures.","",""
"18",18,"",NA,"caro","http://purl.obolibrary.org/obo/caro.owl","http://purl.obolibrary.org/obo/caro.owl","","","","https://github.com/obophenotype/caro/","An upper level ontology to facilitate interoperability between existing anatomy ontologies for different species","",""
"19",19,"",NA,"cdao","http://purl.obolibrary.org/obo/cdao.owl","http://purl.obolibrary.org/obo/cdao.owl","","","","http://sourceforge.net/apps/mediawiki/cdao/index.php?title=Main_Page","a formalization of concepts and relations relevant to evolutionary comparative analysis","",""
"20",20,"",NA,"ceph","http://purl.obolibrary.org/obo/ceph.owl","http://purl.obolibrary.org/obo/ceph.owl","","","","https://github.com/obophenotype/cephalopod-ontology","An anatomical and developmental ontology for cephalopods","",""
"21",21,"",NA,"cheminf","http://purl.obolibrary.org/obo/cheminf.owl","http://purl.obolibrary.org/obo/cheminf.owl","","","","http://code.google.com/p/semanticchemistry/","Includes terms for the descriptors commonly used in cheminformatics software applications and the algorithms which generate them.","",""
"22",22,"",NA,"chmo","http://purl.obolibrary.org/obo/chmo.owl","http://purl.obolibrary.org/obo/chmo.owl","","","","http://code.google.com/p/rsc-cmo/","CHMO, the chemical methods ontology, describes methods used to","",""
"23",23,"",NA,"cl","http://purl.obolibrary.org/obo/cl.owl","http://purl.obolibrary.org/obo/cl.owl","","","","","The Cell Ontology is a structured controlled vocabulary for cell types in animals.","",""
"24",24,"",NA,"clo","http://purl.obolibrary.org/obo/clo.owl","http://purl.obolibrary.org/obo/clo.owl","","","","http://www.clo-ontology.org","An ontology to standardize and integrate cell line information and to support computer-assisted reasoning.","",""
"25",25,"",NA,"cmf",NA,NA,"","","","https://code.google.com/p/craniomaxillofacial-ontology/",NA,"",""
"26",26,"RGD",NA,"cmo","http://purl.obolibrary.org/obo/cmo.owl","http://purl.obolibrary.org/obo/cmo.owl","","","http://rgd.mcw.edu/rgdweb/ontology/view.html?acc_id=CMO:0000000","http://rgd.mcw.edu/rgdweb/ontology/search.html","Morphological and physiological measurement records generated from clinical and model organism research and health programs.","RGD Ontology Browser",""
"27",27,"",NA,"cteno","http://purl.obolibrary.org/obo/cteno.owl","http://purl.obolibrary.org/obo/cteno.owl","","","","https://github.com/obophenotype/ctenophore-ontology","An anatomical and developmental ontology for ctenophores (Comb Jellies)","",""
"28",28,"",NA,"cvdo","http://purl.obolibrary.org/obo/cvdo.owl","http://purl.obolibrary.org/obo/cvdo.owl","","","","https://code.google.com/p/cvdo/","An ontology to describe entities related to cardiovascular diseases","",""
"29",29,"",NA,"ddanat","http://purl.obolibrary.org/obo/ddanat.owl","http://purl.obolibrary.org/obo/ddanat.owl","","","","http://dictybase.org/","A structured controlled vocabulary of the anatomy of the slime-mould <i>Dictyostelium discoideum</i>.","",""
"30",30,"",NA,"ddpheno","http://purl.obolibrary.org/obo/ddpheno.owl","http://purl.obolibrary.org/obo/ddpheno.owl","","","","http://dictybase.org/","A structured controlled vocabulary of phenotypes of the slime-mould <i>Dictyostelium discoideum</i>.","",""
"31",31,"",NA,"dideo","http://purl.obolibrary.org/obo/dideo.owl","http://purl.obolibrary.org/obo/dideo.owl","","","","https://github.com/DIDEO/DIDEO","The Potential Drug-drug Interaction and Potential Drug-drug Interaction Evidence Ontology","",""
"32",32,"",NA,"dinto","http://purl.obolibrary.org/obo/dinto.owl","http://purl.obolibrary.org/obo/dinto.owl","","","","https://code.google.com/p/dinto/",NA,"",""
"33",33,"FB",NA,"dpo","http://purl.obolibrary.org/obo/dpo.owl","http://purl.obolibrary.org/obo/dpo.owl","","","http://flybase.org/.bin/cvreport.html?cvterm=FBcv:0000347","http://purl.obolibrary.org/obo/fbcv","An ontology of commonly encountered and/or high level Drosophila phenotypes.","FlyBase Browser",""
"34",34,"",NA,"dron","http://purl.obolibrary.org/obo/dron.owl","http://purl.obolibrary.org/obo/dron.owl","","","","https://bitbucket.org/uamsdbmi/dron.git","An ontology to support comparative effectiveness researchers studying claims data.","",""
"35",35,"",NA,"eco","http://purl.obolibrary.org/obo/eco.owl","http://purl.obolibrary.org/obo/eco.owl","","","","https://github.com/evidenceontology/evidenceontology/","An ontology for experimental and other evidence statements.","",""
"36",36,"",NA,"ehdaa2","http://purl.obolibrary.org/obo/ehdaa2.owl","http://purl.obolibrary.org/obo/ehdaa2.owl","","","","http://genex.hgu.mrc.ac.uk/","A structured controlled vocabulary of stage-specific anatomical structures of the developing human.","",""
"37",37,"",NA,"emap","http://purl.obolibrary.org/obo/emap.owl","http://purl.obolibrary.org/obo/emap.owl","","","","http://emouseatlas.org","A structured controlled vocabulary of stage-specific anatomical structures of the mouse (Mus).","",""
"38",38,"",NA,"emapa","http://purl.obolibrary.org/obo/emapa.owl","http://purl.obolibrary.org/obo/emapa.owl","","","","http://emouseatlas.org","Abstract (i.e. non-stage specific) stage-specific anatomical structures of the mouse.","",""
"39",39,"",NA,"envo","http://purl.obolibrary.org/obo/envo.owl","http://purl.obolibrary.org/obo/envo.owl","","","","http://environmentontology.org/","Ontology of environmental features and habitats","",""
"40",40,"",NA,"eo","http://purl.obolibrary.org/obo/eo.owl","http://purl.obolibrary.org/obo/eo.owl","","","","http://planteome.org/","A structured, controlled vocabulary which ≠≠describes the treatments, growing conditions, and/or study types used in various types of plant biology experiments.","",""
"41",41,"",NA,"epo","http://purl.obolibrary.org/obo/epo.owl","http://purl.obolibrary.org/obo/epo.owl","","","","https://code.google.com/p/epidemiology-ontology/","An ontology designed to support the semantic annotation of epidemiology resources","",""
"42",42,"",NA,"ero","http://purl.obolibrary.org/obo/ero.owl","http://purl.obolibrary.org/obo/ero.owl","","","","http://code.google.com/p/eagle-i/","An ontology of research resources such as instruments. protocols, reagents, animal models and biospecimens.","",""
"43",43,"",NA,"exo","http://purl.obolibrary.org/obo/exo.owl","http://purl.obolibrary.org/obo/exo.owl","","","","http://ctdbase.org/downloads/#exposures","Vocabularies for describing exposure data to inform understanding of environmental health.","",""
"44",44,"",NA,"fao","http://purl.obolibrary.org/obo/fao.owl","http://purl.obolibrary.org/obo/fao.owl","","","","http://www.yeastgenome.org/fungi/fungal_anatomy_ontology/","A structured controlled vocabulary for the anatomy of fungi.","",""
"45",45,"",NA,"fbbi","http://purl.obolibrary.org/obo/fbbi.owl","http://purl.obolibrary.org/obo/fbbi.owl","","","","http://cellimagelibrary.org/","A structured controlled vocabulary of sample preparation, visualization and imaging methods used in biomedical research.","",""
"46",46,"FB",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://flybase.org/.bin/cvreport.html?cvterm=FBbt:10000000","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","FlyBase Browser",""
"47",46,"FB",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://flybase.org/.bin/cvreport.html?cvterm=FBbt:10000000","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","Virtual Fly Brain",""
"48",46,"FB",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://flybase.org/.bin/cvreport.html?cvterm=FBbt:10000000","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","BioPortal Browser",""
"49",46,"FB",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://www.virtualflybrain.org/site/stacks/index.htm?add=FBbt:00007401","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","FlyBase Browser",""
"50",46,"FB",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://www.virtualflybrain.org/site/stacks/index.htm?add=FBbt:00007401","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","Virtual Fly Brain",""
"51",46,"FB",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://www.virtualflybrain.org/site/stacks/index.htm?add=FBbt:00007401","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","BioPortal Browser",""
"52",46,"FB",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://bioportal.bioontology.org/ontologies/FB-BT?p=classes","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","FlyBase Browser",""
"53",46,"FB",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://bioportal.bioontology.org/ontologies/FB-BT?p=classes","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","Virtual Fly Brain",""
"54",46,"FB",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://bioportal.bioontology.org/ontologies/FB-BT?p=classes","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","BioPortal Browser",""
"55",46,"VFB",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://flybase.org/.bin/cvreport.html?cvterm=FBbt:10000000","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","FlyBase Browser",""
"56",46,"VFB",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://flybase.org/.bin/cvreport.html?cvterm=FBbt:10000000","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","Virtual Fly Brain",""
"57",46,"VFB",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://flybase.org/.bin/cvreport.html?cvterm=FBbt:10000000","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","BioPortal Browser",""
"58",46,"VFB",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://www.virtualflybrain.org/site/stacks/index.htm?add=FBbt:00007401","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","FlyBase Browser",""
"59",46,"VFB",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://www.virtualflybrain.org/site/stacks/index.htm?add=FBbt:00007401","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","Virtual Fly Brain",""
"60",46,"VFB",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://www.virtualflybrain.org/site/stacks/index.htm?add=FBbt:00007401","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","BioPortal Browser",""
"61",46,"VFB",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://bioportal.bioontology.org/ontologies/FB-BT?p=classes","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","FlyBase Browser",""
"62",46,"VFB",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://bioportal.bioontology.org/ontologies/FB-BT?p=classes","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","Virtual Fly Brain",""
"63",46,"VFB",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://bioportal.bioontology.org/ontologies/FB-BT?p=classes","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","BioPortal Browser",""
"64",46,"BioPortal",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://flybase.org/.bin/cvreport.html?cvterm=FBbt:10000000","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","FlyBase Browser",""
"65",46,"BioPortal",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://flybase.org/.bin/cvreport.html?cvterm=FBbt:10000000","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","Virtual Fly Brain",""
"66",46,"BioPortal",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://flybase.org/.bin/cvreport.html?cvterm=FBbt:10000000","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","BioPortal Browser",""
"67",46,"BioPortal",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://www.virtualflybrain.org/site/stacks/index.htm?add=FBbt:00007401","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","FlyBase Browser",""
"68",46,"BioPortal",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://www.virtualflybrain.org/site/stacks/index.htm?add=FBbt:00007401","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","Virtual Fly Brain",""
"69",46,"BioPortal",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://www.virtualflybrain.org/site/stacks/index.htm?add=FBbt:00007401","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","BioPortal Browser",""
"70",46,"BioPortal",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://bioportal.bioontology.org/ontologies/FB-BT?p=classes","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","FlyBase Browser",""
"71",46,"BioPortal",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://bioportal.bioontology.org/ontologies/FB-BT?p=classes","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","Virtual Fly Brain",""
"72",46,"BioPortal",NA,"fbbt","http://purl.obolibrary.org/obo/fbbt.owl","http://purl.obolibrary.org/obo/fbbt.owl","","","http://bioportal.bioontology.org/ontologies/FB-BT?p=classes","http://purl.obolibrary.org/obo/fbbt","An ontology representing the gross anatomy of Drosophila melanogaster.","BioPortal Browser",""
"73",47,"FB",NA,"fbcv","http://purl.obolibrary.org/obo/fbcv.owl","http://purl.obolibrary.org/obo/fbcv.owl","","","http://flybase.org/.bin/cvreport.html?cvterm=FBcv:0000013","http://purl.obolibrary.org/obo/fbcv","A structured controlled vocabulary used for various aspects of annotation by FlyBase.","FlyBase Browser",""
"74",48,"FB",NA,"fbdv","http://purl.obolibrary.org/obo/fbdv.owl","http://purl.obolibrary.org/obo/fbdv.owl","","","http://flybase.org/.bin/cvreport.html?cvterm=FBdv:00007008","http://purl.obolibrary.org/obo/fbdv","A structured controlled vocabulary of the development of Drosophila melanogaster.","FlyBase Browser",""
"75",49,"",NA,"fix","http://purl.obolibrary.org/obo/fix.owl","http://purl.obolibrary.org/obo/fix.owl","","","","","An ontology of physico-chemical methods and properties.","",""
"76",50,"",NA,"flu","http://purl.obolibrary.org/obo/flu.owl","http://purl.obolibrary.org/obo/flu.owl","","","","http://purl.obolibrary.org/obo/flu/",NA,"",""
"77",51,"",NA,"fma","http://purl.obolibrary.org/obo/fma.owl","http://purl.obolibrary.org/obo/fma.owl","","","","http://sig.biostr.washington.edu/projects/fm/index.html","This is currently a slimmed down version of FMA","",""
"78",52,"",NA,"fypo","http://purl.obolibrary.org/obo/fypo.owl","http://purl.obolibrary.org/obo/fypo.owl","","","","https://github.com/pombase/fypo","FYPO is a formal ontology of phenotypes observed in fission yeast.","",""
"79",53,"",NA,"gaz","http://purl.obolibrary.org/obo/gaz.owl","http://purl.obolibrary.org/obo/gaz.owl","","","","http://gensc.org/gc_wiki/index.php/GAZ_Project","A gazetteer constructed on ontological principles","",""
"80",54,"",NA,"geo","http://purl.obolibrary.org/obo/geo.owl","http://purl.obolibrary.org/obo/geo.owl","","","","https://code.google.com/p/ge-ontology/","An ontology of geographical entities","",""
"81",55,"",NA,"hao","http://purl.obolibrary.org/obo/hao.owl","http://purl.obolibrary.org/obo/hao.owl","","","","http://hymao.org","A structured controlled vocabulary of the anatomy of the Hymenoptera (bees, wasps, and ants)","",""
"82",56,"",NA,"hom","http://purl.obolibrary.org/obo/hom.owl","http://purl.obolibrary.org/obo/hom.owl","","","","http://bioinfo.unil.ch","This ontology represents concepts related to homology, as well as other concepts used to describe similarity and non-homology.","",""
"83",57,"HPO",NA,"hp","http://purl.obolibrary.org/obo/hp.owl","http://purl.obolibrary.org/obo/hp.owl","","","http://www.human-phenotype-ontology.org/hpoweb/showterm?id=HP:0000118","http://www.human-phenotype-ontology.org/","A structured and controlled vocabulary for the phenotypic features encountered in human hereditary and other disease.","Charite HPO Browser",""
"84",57,"HPO",NA,"hp","http://purl.obolibrary.org/obo/hp.owl","http://purl.obolibrary.org/obo/hp.owl","","","http://www.human-phenotype-ontology.org/hpoweb/showterm?id=HP:0000118","http://www.human-phenotype-ontology.org/","A structured and controlled vocabulary for the phenotypic features encountered in human hereditary and other disease.","Monarch Phenotype Page",""
"85",57,"HPO",NA,"hp","http://purl.obolibrary.org/obo/hp.owl","http://purl.obolibrary.org/obo/hp.owl","","","http://monarchinitiative.org/phenotype/HP:0000118","http://www.human-phenotype-ontology.org/","A structured and controlled vocabulary for the phenotypic features encountered in human hereditary and other disease.","Charite HPO Browser",""
"86",57,"HPO",NA,"hp","http://purl.obolibrary.org/obo/hp.owl","http://purl.obolibrary.org/obo/hp.owl","","","http://monarchinitiative.org/phenotype/HP:0000118","http://www.human-phenotype-ontology.org/","A structured and controlled vocabulary for the phenotypic features encountered in human hereditary and other disease.","Monarch Phenotype Page",""
"87",57,"Monarch",NA,"hp","http://purl.obolibrary.org/obo/hp.owl","http://purl.obolibrary.org/obo/hp.owl","","","http://www.human-phenotype-ontology.org/hpoweb/showterm?id=HP:0000118","http://www.human-phenotype-ontology.org/","A structured and controlled vocabulary for the phenotypic features encountered in human hereditary and other disease.","Charite HPO Browser",""
"88",57,"Monarch",NA,"hp","http://purl.obolibrary.org/obo/hp.owl","http://purl.obolibrary.org/obo/hp.owl","","","http://www.human-phenotype-ontology.org/hpoweb/showterm?id=HP:0000118","http://www.human-phenotype-ontology.org/","A structured and controlled vocabulary for the phenotypic features encountered in human hereditary and other disease.","Monarch Phenotype Page",""
"89",57,"Monarch",NA,"hp","http://purl.obolibrary.org/obo/hp.owl","http://purl.obolibrary.org/obo/hp.owl","","","http://monarchinitiative.org/phenotype/HP:0000118","http://www.human-phenotype-ontology.org/","A structured and controlled vocabulary for the phenotypic features encountered in human hereditary and other disease.","Charite HPO Browser",""
"90",57,"Monarch",NA,"hp","http://purl.obolibrary.org/obo/hp.owl","http://purl.obolibrary.org/obo/hp.owl","","","http://monarchinitiative.org/phenotype/HP:0000118","http://www.human-phenotype-ontology.org/","A structured and controlled vocabulary for the phenotypic features encountered in human hereditary and other disease.","Monarch Phenotype Page",""
"91",58,"",NA,"hsapdv","http://purl.obolibrary.org/obo/hsapdv.owl","http://purl.obolibrary.org/obo/hsapdv.owl","","","","https://github.com/obophenotype/developmental-stage-ontologies/wiki/HsapDv","Life cycle stages for Human","",""
"92",59,"",NA,"iao","http://purl.obolibrary.org/obo/iao.owl","http://purl.obolibrary.org/obo/iao.owl","","","","https://github.com/information-artifact-ontology/IAO/","An ontology of information entities.","",""
"93",60,"",NA,"ico",NA,NA,"","","","https://code.google.com/p/ico-ontology/",NA,"",""
"94",61,"",NA,"ido","http://purl.obolibrary.org/obo/ido.owl","http://purl.obolibrary.org/obo/ido.owl","","","","http://www.bioontology.org/wiki/index.php/Infectious_Disease_Ontology",NA,"",""
"95",62,"",NA,"idomal","http://purl.obolibrary.org/obo/idomal.owl","http://purl.obolibrary.org/obo/idomal.owl","","","","http://anobase.vectorbase.org","An application ontology to cover all aspects of malaria as well as the intervention attempts to control it.","",""
"96",63,"",NA,"kisao","http://purl.obolibrary.org/obo/kisao.owl","http://purl.obolibrary.org/obo/kisao.owl","","","","http://biomodels.net/kisao","A classification of algorithms available for the simulation of models in biology.","",""
"97",64,"",NA,"ma","http://purl.obolibrary.org/obo/ma.owl","http://purl.obolibrary.org/obo/ma.owl","","","","https://github.com/obophenotype/mouse-anatomy-ontology","A structured controlled vocabulary of the adult anatomy of the mouse (Mus).","",""
"98",65,"",NA,"mamo","http://purl.obolibrary.org/obo/mamo.owl","http://purl.obolibrary.org/obo/mamo.owl","","","","http://sourceforge.net/p/mamo-ontology/wiki/Home/","The Mathematical Modelling Ontology (MAMO) is a classification of the types of mathematical models used mostly in the life sciences, their variables, relationships and other relevant features.","",""
"99",66,"",NA,"mf","http://purl.obolibrary.org/obo/mf.owl","http://purl.obolibrary.org/obo/mf.owl","","","","https://code.google.com/p/mental-functioning-ontology/",NA,"",""
"100",67,"",NA,"mfmo","http://purl.obolibrary.org/obo/mfmo.owl","http://purl.obolibrary.org/obo/mfmo.owl","","","","http://feedexp.org","The Mammalian Feeding Muscle Ontology is an antomy ontology for the muscles of the head and neck that participate in feeding, swallowing, and other oral-pharyngeal behaviors.","",""
"101",68,"",NA,"mfo","http://purl.obolibrary.org/obo/mfo.owl","http://purl.obolibrary.org/obo/mfo.owl","","","","","A structured controlled vocabulary of the anatomy and development of the Japanese medaka fish, <i>Oryzias latipes</i>.","",""
"102",69,"",NA,"mfoem","http://purl.obolibrary.org/obo/mfoem.owl","http://purl.obolibrary.org/obo/mfoem.owl","","","","https://code.google.com/p/emotion-ontology/","An ontology of affective phenomena such as emotions, moods, appraisals and subjective feelings.","",""
"103",70,"",NA,"mfomd","http://purl.obolibrary.org/obo/mfomd.owl","http://purl.obolibrary.org/obo/mfomd.owl","","","","http://mental-functioning-ontology.googlecode.com","An ontology to describe and classify mental diseases","",""
"104",71,"",NA,"mi","http://purl.obolibrary.org/obo/mi.owl","http://purl.obolibrary.org/obo/mi.owl","","","","http://psidev.sf.net","A structured controlled vocabulary for the annotation of experiments concerned with protein-protein interactions.","",""
