"","Original Position","Primary Prefix","Alternate Prefix","Local Identifier","Entity Identifier (e.g., IRI)","Identifier Namespace Path if Different","Identifier Resolution - Computable (y/n)","Identifier Resolution - Human Viewable (y/n)","Different Namespace for Human Readable Pages","Homepage","Description","Title","Source URL"
"51","51","GENE-CDS","","","","","","","","","","Genomic Clinical Decision Support Ontology",""
"52","52","ICF","","","","","","","","","","International Classification of Functioning, Disability and Health",""
"53","53","LHN","","","","","","","","","","Loggerhead Nesting Ontology",""
"54","54","PEO","","","","","","","","","","Parasite Experiment Ontology",""
"55","55","GTO","","","","","","","","","","Genetic Test",""
"56","56","VARIO","","","","","","","","","","Variation Ontology",""
"57","57","OGMD","","","","","","","","","","Ontology of Glucose Metabolism Disorder",""
"58","58","OCRE","","","","","","","","","","Ontology of Clinical Research",""
"59","59","TM-SIGNS-AND-SYMPTS","","","","","","","","","","Traditional Medicine Signs and Symptoms Value Set",""
"60","60","LEGALAPATEST2","","","","","","","","","","apalegal",""
"61","61","FIRE","","","","","","","","","","Fire Ontology",""
"62","62","NTDO","","","","","","","","","","Neglected Tropical Disease Ontology",""
"63","63","PHMAMMADO","","","","","","","","","","Phallusia mammillata Anatomy and Development Ontology",""
"64","64","GLYCO","","","","","","","","","","Glycomics Ontology",""
"65","65","SCHEMA","","","","","","","","","","schema.org",""
"66","66","RCTONT","","","","","","","","","","Randomized Controlled Trials Ontology",""
"67","67","OPB","","","","","","","","","","Ontology of Physics for Biology",""
"68","68","PAE","","","","","","","","","","Plant Anatomy",""
"69","69","HIV","","","","","","","","","","HIV ontology",""
"70","70","MWLA","","","","","","","","","","Medical Web Lifestyle Aggregator",""
"71","71","APASTATISTICAL","","","","","","","","","","APA Statistical Cluster",""
"72","72","SPD","","","","","","","","","","Spider Ontology",""
"73","73","CANCO","","","","","","","","","","Cancer Chemoprevention Ontology",""
"74","74","OMRSE","","","","","","","","","","Ontology of Medically Related Social Entities",""
"75","75","TRAK","","","","","","","","","","Taxonomy for Rehabilitation of Knee Conditions",""
"76","76","DDI","","","","","","","","","","Ontology for Drug Discovery Investigations",""
"77","77","MEDDRA","","","","","","","","","","Medical Dictionary for Regulatory Activities",""
"78","78","GMM","","","","","","","","","","GoMapMan",""
"79","79","SITBAC","","","","","","","","","","Situation-Based Access Control Ontology",""
"80","80","REX","","","","","","","","","","Physico-Chemical Process",""
"81","81","NMR","","","","","","","","","","NMR-Instrument Component of Metabolomics Investigations Ontology",""
"82","82","FALL","","","","","","","","","","MyOntoServiceFull_FallDetection",""
"83","83","TOP-MENELAS","","","","","","","","","","Menelas Project Top-Level Ontology",""
"84","84","CDAO","","","","","","","","","","Comparative Data Analysis Ontology",""
"85","85","BHN","","","","","","","","","","Biologie Hors Nomenclature",""
"86","86","TGMA","","","","","","","","","","Mosquito Gross Anatomy Ontology",""
"87","87","PHFUMIADO","","","","","","","","","","Phallusia fumigata Anatomy and Development Ontology",""
"88","88","ROO","","","","","","","","","","Radiation Oncology Ontology",""
"89","89","NLMVS","","","","","","","","","","NIH NLM Value Sets",""
"90","90","IXNO","","","","","","","","","","Interaction Ontology",""
"91","91","ONTOTOXNUC","","","","","","","","","","Ontology of Nuclear Toxicity",""
"92","92","CADSRVS","","","","","","","","","","NCI caDSR Value Sets",""
"93","93","NDDF","","","","","","","","","","National Drug Data File",""
"94","94","FLU","","","","","","","","","","Influenza Ontology",""
"95","95","MEO","","","","","","","","","","Metagenome and Microbes Environmental Ontology",""
"96","96","ICD9CM","","","","","","","","","","International Classification of Diseases, Version 9 - Clinical Modification",""
"97","97","CU-VO","","","","","","","","","","Venom Ontology",""
"98","98","CCON","","","","","","","","","","Cerrado concepts and plant community dynamics",""
"99","99","HAROREADO","","","","","","","","","","Halocynthia roretzi Anatomy and Development Ontology",""
"100","100","ICNP","","","","","","","","","","International Classification for Nursing Practice",""
"101","101","PR","","","","","","","","","","Protein Ontology",""
"102","102","IGTO","","","","","","","","","","Scientific Evidence Based Genetic Testing Ontology",""
"103","103","CISAVIADO","","","","","","","","",""," Ciona savignyi Anatomy and Development Ontology ",""
"104","104","BIOMODELS","","","","","","","","","","BioModels Ontology",""
"105","105","BDO","","","","","","","","","","Bone Dysplasia Ontology",""
"106","106","BAO-GPCR","","","","","","","","","","G Protein-Coupled Receptor BioAssays Ontology",""
"107","107","NIHSS","","","","","","","","","","National Institutes of Health Stroke Scale Ontology",""
"108","108","OBIWS","","","","","","","","","","Bioinformatics Web Service Ontology",""
"109","109","ATC","","","","","","","","","","Anatomical Therapeutic Chemical Classification",""
"110","110","MAT","","","","","","","","","","Minimal Anatomical Terminology",""
"111","111","ANCESTRO","","","","","","","","","","Ancestry Ontology",""
"112","112","MSTDE-FRE","","","","","","","","","","Minimal Standard Terminology of Digestive Endoscopy, French",""
"113","113","TM-CONST","","","","","","","","","","Traditional Medicine Constitution Value Set",""
"114","114","PMR","","","","","","","","","","Physical Medicine and Rehabilitation",""
"115","115","SSE","","","","","","","","","","Surgical Secondary Events",""
"116","116","CHEBI","","","","","","","","","","Chemical Entities of Biological Interest Ontology",""
"117","117","BMT","","","","","","","","","","Biomedical Topics",""
"118","118","OBIB","","","","","","","","","","Ontology for Biobanking",""
"119","119","FAO","","","","","","","","","","Fungal Gross Anatomy Ontology",""
"120","120","QUDT","","","","","","","","","","Quantities, Units, Dimensions, and Types Ontology",""
"121","121","ONTODM-CORE","","","","","","","","","","Ontology of Core Data Mining Entities",""
"122","122","RNRMU","","","","","","","","","","RNRMU",""
"123","123","BCO","","","","","","","","","","Biological Collections Ontology",""
"124","124","MMO","","","","","","","","","","Measurement Method Ontology",""
"125","125","TADS","","","","","","","","","","Tick Gross Anatomy Ontology",""
"126","126","DCM","","","","","","","","","","DICOM Controlled Terminology",""
"127","127","PATHLEX","","","","","","","","","","Anatomic Pathology Lexicon",""
"128","128","XAO","","","","","","","","","","Xenopus Anatomy and Development Ontology",""
"129","129","ERO","","","","","","","","","","Eagle-I Research Resource Ontology",""
"130","130","WB-PHENOTYPE","","","","","","","","","","C. elegans Phenotype Vocabulary",""
"131","131","EDAM","","","","","","","","","","EDAM bioinformatics operations, data types, formats, identifiers and topics",""
"132","132","GEXO","","","","","","","","","","Gene Expression Ontology",""
"133","133","CNO","","","","","","","","","","Computational Neuroscience Ontology",""
"134","134","ASDPTO","","","","","","","","","","Autism Spectrum Disorder Phenotype Ontology",""
"135","135","TYPON","","","","","","","","","","Microbial Typing Ontology",""
"136","136","CHEMINF","","","","","","","","","","Chemical Information Ontology",""
"137","137","GFO","","","","","","","","","","General Formal Ontology",""
"138","138","FBbi","","","","","","","","","","Biological Imaging Methods Ontology",""
"139","139","RS","","","","","","","","","","Rat Strain Ontology",""
"140","140","DOID","","","","","","","","","","Human Disease Ontology",""
"141","141","CAO","","","","","","","","","","Clusters of Orthologous Groups (COG) Analysis Ontology",""
"142","142","EHDA","","","","","","","","","","Human Developmental Anatomy Ontology, timed version",""
"143","143","SD3","","","","","","","","","","Simulation Delivery and Documentation Deviations",""
"144","144","CHD","","","","","","","","","","Congenital Heart Defects Ontology",""
"145","145","NGSONTO","","","","","","","","","","NGS ontology",""
"146","146","MIXSCV","","","","","","","","","","Minimal Information about any Sequence (MIxS) Controlled Vocabularies",""
"147","147","OAE","","","","","","","","","","Ontology of Adverse Events",""
"148","148","ICPC2P","","","","","","","","","","International Classification of Primary Care - 2 PLUS",""
"149","149","RSA","","","","","","","","","","Reference Sequence Annotation",""
"150","150","PHARMGKB","","","","","","","","","","PharmGKB Ontology",""
"151","151","PHARE","","","","","","","","","","Pharmacogenomic Relationships Ontology",""
"152","152","APAEDUCLUSTER","","","","","","","","","","Educational Cluster",""
"153","153","XEO","","","","","","","","","","XEML Environment Ontology",""
"154","154","RH-MESH","","","","","","","","","","Robert Hoehndorf Version of MeSH",""
"155","155","TRON","","","","","","","","","","Tribolium Ontology",""
"156","156","GRO-CPGA","","","","","","","","","","Cereal Plant Gross Anatomy Ontology",""
"157","157","HUGO","","","","","","","","","","Human Genome Organization Gene Symbols",""
"158","158","AMINO-ACID","","","","","","","","","","Amino Acid Ontology",""
"159","159","SPTO","","","","","","","","","","Solanaceae Phenotype Ontology",""
"160","160","WHO-ART","","","","","","","","","","World Health Organization (WHO) Adverse Reaction Terminology",""
"161","161","DCO-DEBUGIT","","","","","","","","","","DebugIT Core Ontology",""
"162","162","BHO","","","","","","","","","","Bleeding History Phenotype Ontology",""
"163","163","MP","","","","","","","","","","Mammalian Phenotype Ontology",""
"164","164","ADMIN","","","","","","","","","","Nurse Administrator",""
"165","165","CYTO","","","","","","","","","","CYTOKINE",""
"166","166","BP","","","","","","","","","","BioPAX Ontology of Biological Pathways",""
"167","167","MCCV","","","","","","","","","","Microbial Culture Collection Vocabulary",""
"168","168","NCIT","","","","","","","","","","National Cancer Institute Thesaurus",""
"169","169","AI-RHEUM","","","","","","","","","","Artificial Intelligence Rheumatology Consultant System Ontology",""
"170","170","SURGICAL","","","","","","","","","","Nurse Surgical",""
"171","171","MDDB","","","","","","","","","","Master Drug Data Base Clinical Drugs",""
"172","172","LPT","","","","","","","","","","Livestock Product Trait Ontology",""
"173","173","EOL","","","","","","","","","","Environment Ontology for Livestock",""
"174","174","COSTART","","","","","","","","","","Coding Symbols for a Thesaurus of Adverse Reaction Terms",""
"175","175","BCTTV1","","","","","","","","","","Behaviour change technique taxonomy",""
"176","176","SPO","","","","","","","","","","Skin Physiology Ontology",""
"177","177","PEAO","","","","","","","","","","Plant Experimental Assay Ontology",""
"178","178","MO","","","","","","","","","","Microarray and Gene Expression Data Ontology",""
"179","179","NONRCTO","","","","","","","","","","Non-Randomized Controlled Trials Ontology",""
"180","180","OntoVIP","","","","","","","","","","Medical image simulation",""
"181","181","ADO","","","","","","","","","","Alzheimer's disease ontology",""
"182","182","CARRE","","","","","","","","","","CARRE Risk Factor ontology",""
"183","183","REXO","","","","","","","","","","Regulation of Gene Expression Ontolology",""
"184","184","BCTEO","","","","","","","","","","Bone and Cartilage Tissue Engineering Ontology",""
"185","185","IDODEN","","","","","","","","","","Dengue Fever Ontology",""
"186","186","LOINC","","","","","","","","","","Logical Observation Identifier Names and Codes",""
"187","187","OGDI","","","","","","","","","","Ontology for Genetic Disease Investigations",""
"188","188","pseudo","","","","","","","","","","Pseudogene",""
"189","189","NMOBR","","","","","","","","","","NeuroMorpho.Org brain region ontologies",""
"190","190","MPATH","","","","","","","","","","Mouse Pathology Ontology",""
"191","191","HUPSON","","","","","","","","","","Human Physiology Simulation Ontology",""
"192","192","IMGT-ONTOLOGY","","","","","","","","","","Immunogenetics Ontology",""
"193","193","IMMDIS","","","","","","","","","","Immune Disorder Ontology",""
"194","194","OMIT","","","","","","","","","","Ontology for MicroRNA Target",""
"195","195","MESH","","","","","","","","","","Medical Subject Headings",""
"196","196","BIOMO","","","","","","","","","","Biological Observation Matrix Ontology",""
"197","197","RNAO","","","","","","","","","","RNA Ontology",""
"198","198","VO","","","","","","","","","","Vaccine Ontology",""
"199","199","SEDI","","","","","","","","","","Semantic DICOM Ontology",""
"200","200","CLO","","","","","","","","","","Cell Line Ontology",""
"201","201","MCCL","","","","","","","","","","Cell Line Ontology [by Mahadevan]",""
"202","202","OGR","","","","","","","","","","Ontology of Geographical Region",""
"203","203","ZFA","","","","","","","","","","Zebrafish Anatomy and Development Ontology",""
"204","204","HCPCS","","","","","","","","","","Healthcare Common Procedure Coding System",""
"205","205","ICD10CM","","","","","","","","","","International Classification of Diseases, Version 10 - Clinical Modification",""
"206","206","DIDEO","","","","","","","","","","The Potential Drug-drug Interaction and Potential Drug-drug Interaction Evidence Ontology",""
"207","207","FIX","","","","","","","","","","Physico-Chemical Methods and Properties",""
"208","208","FB-DV","","","","","","","","","","Drosophila Development Ontology",""
"209","209","GLYCORDF","","","","","","","","","","GlycoRDF",""
"210","210","HAO","","","","","","","","","","Hymenoptera Anatomy Ontology",""
"211","211","ICD10PCS","","","","","","","","","","International Classification of Diseases, Version 10 - Procedure Coding System",""
"212","212","PSDS","","","","","","","","","","Plant Structure Development Stage",""
"213","213","LIPRO","","","","","","","","","","Lipid Ontology",""
"214","214","CMO","","","","","","","","","","Clinical Measurement Ontology",""
"215","215","OVAE","","","","","","","","","","Ontology of Vaccine Adverse Events",""
"216","216","MSV","","","","","","","","","","Metagenome Sample Vocabulary",""
"217","217","ICD10","","","","","","","","","","International Classification of Diseases, Version 10",""
"218","218","ENVO","","","","","","","","","","Environment Ontology",""
"219","219","RXNORM","","","","","","","","","","RxNORM",""
"220","220","CRISP","","","","","","","","","","Computer Retrieval of Information on Scientific Projects Thesaurus",""
"221","221","BTO","","","","","","","","","","BRENDA Tissue and Enzyme Source Ontology",""
"222","222","GRO","","","","","","","","","","Gene Regulation Ontology",""
"223","223","HAAURAADO","","","","","","","","","","Halocynthia aurantium Anatomy and Development Ontology",""
"224","224","CIINTEADO","","","","","","","","","","Ciona intestinalis Anatomy and Development Ontology",""
"225","225","IDOMAL","","","","","","","","","","Malaria Ontology",""
"226","226","CL","","","","","","","","","","Cell Ontology",""
"227","227","TTO","","","","","","","","","","Teleost Taxonomy Ontology",""
"228","228","CPTAC","","","","","","","","","","CPTAC Proteomics Pipeline Infrastructure Ontology",""
"229","229","HINO","","","","","","","","","","Human Interaction Network Ontology",""
"230","230","TAXRANK","","","","","","","","","","Taxonomic Rank Vocabulary",""
"231","231","VHOG","","","","","","","","","","Vertebrate Homologous Organ Group Ontology",""
"232","232","CABRO","","","","","","","","","","Computer Assisted Brain Injury Rehabilitation Ontology",""
"233","233","WSIO","","","","","","","","","","Web-Service Interaction Ontology",""
"234","234","HRDO","","","","","","","","","","Disease core ontology applied to Rare Diseases",""
"235","235","PATO","","","","","","","","","","Phenotypic Quality Ontology",""
"236","236","CTCAE","","","","","","","","","","Common Terminology Criteria for Adverse Events",""
"237","237","APO","","","","","","","","","","Ascomycete Phenotype Ontology",""
"238","238","NCBITAXON","","","","","","","","","","National Center for Biotechnology Information (NCBI) Organismal Classification",""
"239","239","PPIO","","","","","","","","","","Protein-Protein Interaction Ontology",""
"240","240","NIFSUBCELL","","","","","","","","","","Neuroscience Information Framework (NIF) Subcellular Ontology",""
"241","241","BRCT","","","","","","","","","","Brain Region & Cell Type terminology",""
"242","242","TRIAGE","","","","","","","","","","Nurse triage",""
"243","243","WIKIPATHWAYS","","","","","","","","","","WikiPathways",""
"244","244","INFECTION","","","","","","","","","","HAI",""
"245","245","MSTDE","","","","","","","","","","Minimal Standard Terminology of Digestive Endoscopy",""
"246","246","SNOMEDCT","","","","","","","","","","Systematized Nomenclature of Medicine - Clinical Terms",""
"247","247","ONTODT","","","","","","","","","","Ontology of Datatypes",""
"248","248","NIFSTD","","","","","","","","","","Neuroscience Information Framework (NIF) Standard Ontology",""
"249","249","SOY","","","","","","","","","","Soy Ontology",""
"250","250","LDA","","","","","","","","","","Ontology of Language Disorder in Autism",""
"251","251","NEUMORE","","","","","","","","","","Neural Motor Recovery Ontology",""
"252","252","SWO","","","","","","","","","","Software Ontology",""
"253","253","OBCS","","","","","","","","","","Ontology of Biological and Clinical Statistics",""
"254","254","MEGO","","","","","","","","","","Mobile Genetic Element Ontology",""
"255","255","MIRNAO","","","","","","","","","","MicroRNA Ontology",""
"256","256","FB-SP","","","","","","","","","","Fly Taxonomy",""
"257","257","RADLEX","","","","","","","","","","Radiology Lexicon",""
"258","258","IDQA","","","","","","","","","","Image and Data Quality Assessment Ontology",""
"259","259","GALEN","","","","","","","","","","Galen Ontology",""
"260","260","NHSQI2009","","","","","","","","","","NHS Quality Indicators",""
"261","261","OGG","","","","","","","","","","Ontology of Genes and Genomes",""
"262","262","BRIDG","","","","","","","","","","Biomedical Research Integrated Domain Group Model",""
"263","263","ICD11-BODYSYSTEM","","","","","","","","","","Body System Terms from ICD11",""
"264","264","VIVO","","","","","","","","","","VIVO Ontology for Researcher Discovery",""
"265","265","AERO","","","","","","","","","","Adverse Event Reporting Ontology",""
"266","266","SBO","","","","","","","","","","Systems Biology Ontology",""
"267","267","EHDAA","","","","","","","","","","Human Developmental Anatomy Ontology, abstract version 1",""
"268","268","CCO","","","","","","","","","","Cell Cycle Ontology",""
"269","269","ONLIRA","","","","","","","","","","Ontology of Liver for Radiology",""
"270","270","GAZ","","","","","","","","","","Gazetteer",""
"271","271","VT","","","","","","","","","","Vertebrate Trait Ontology",""
"272","272","ZEA","","","","","","","","","","Maize Gross Anatomy Ontology",""
"273","273","SMASH","","","","","","","","","","SMASH Ontology",""
"274","274","PLIO","","","","","","","","","","Protein-ligand interaction ontology",""
"275","275","OGI","","","","","","","","","","Ontology for Genetic Interval",""
"276","276","CO","","","","","","","","","","Crop Ontology",""
"277","277","ICECI","","","","","","","","","","International Classification of  External Causes of Injuries",""
"278","278","ONTOPNEUMO","","","","","","","","","","Ontology of Pneumology",""
"279","279","PROVO","","","","","","","","","","Provenance Ontology",""
"280","280","RCD","","","","","","","","","","Read Codes, Clinical Terms Version 3 (CTV3) ",""
"281","281","UO","","","","","","","","","","Units of Measurement Ontology",""
"282","282","PDON","","","","","","","","","","Parkinson's Disease Ontology",""
"283","283","BCGO","","","","","","","","","","Breast Cancer Grading Ontology",""
"284","284","NEOMARK3","","","","","","","","","","Neomark Oral Cancer Ontology, version 3",""
"285","285","ADAR","","","","","","","","","","Autism DSM-ADI-R ontology",""
"286","286","IDOBRU","","","","","","","","","","Brucellosis Ontology",""
"287","287","MCBCC","","","","","","","","","","Breast Tissue Cell Lines Ontology",""
"288","288","FO","","","","","","","","","","Fern Ontology",""
"289","289","ROLEO","","","","","","","","","","Role Ontology",""
"290","290","ONL-MR-DA","","","","","","","","","","Magnetic Resonance Dataset Acquisition Ontology",""
"291","291","DERMLEX","","","","","","","","","","Dermatology Lexicon",""
"292","292","ODNAE","","","","","","","","","","Ontology of Drug Neuropathy Adverse Events",""
"293","293","InterNano","","","","","","","","","","InterNano Nanomanufacturing Taxonomy",""
"294","294","STY","","","","","","","","","","Semantic Types Ontology",""
"295","295","BT","","","","","","","","","","BioTop Ontology",""
"296","296","ONTOMA","","","","","","","","","","Ontology of Alternative Medicine, French",""
"297","297","EMAP","","","","","","","","","","Mouse Gross Anatomy and Development Ontology",""
"298","298","CSEO","","","","","","","","","","Cigarette Smoke Exposure Ontology",""
"299","299","MS","","","","","","","","","","Mass Spectrometry Ontology",""
"300","300","STUFF","","","","","","","","","","Stuff Ontology",""
"301","301","DIKB","","","","","","","","","","Drug Interaction Knowledge Base Ontology",""
"302","302","FYPO","","","","","","","","","","Fission Yeast Phenotype Ontology",""
"303","303","CMPO","","","","","","","","","","Cellular microscopy phenotype ontology",""
"304","304","EMO","","","","","","","","","","Enzyme Mechanism Ontology",""
"305","305","SHR","","","","","","","","","","Student Health Record Ontology",""
"306","306","ONSTR","","","","","","","","","","Ontology for Newborn Screening Follow-up and Translational Research",""
"307","307","VICO","","","","","","","","","","Vaccination Informed Consent Ontology",""
"308","308","MF","","","","","","","","","","Mental Functioning Ontology",""
"309","309","MERA","","","","","","","","","","Medical Educational Resource Aggregator",""
"310","310","GFVO","","","","","","","","","","Genomic Feature and Variation Ontology",""
"311","311","XCO","","","","","","","","","","Experimental Conditions Ontology",""
"312","312","VTO","","","","","","","","","","Vertebrate Taxonomy Ontology",""
"313","313","WB-BT","","","","","","","","","","C. elegans Gross Anatomy Vocabulary",""
"314","314","PMA","","","","","","","","","","Portfolio Management Application",""
"315","315","SBOL","","","","","","","","","","Synthetic Biology Open Language Visual Ontology",""
"316","316","SAO","","","","","","","","","","Subcellular Anatomy Ontology",""
"317","317","NEMO","","","","","","","","","","Neural ElectroMagnetic Ontology",""
"318","318","PTRANS","","","","","","","","","","Pathogen Transmission Ontology",""
"319","319","CARO","","","","","","","","","","Common Anatomy Reference Ontology",""
"320","320","UNITSONT","","","","","","","","","","Units Ontology",""
"321","321","NEOMARK4","","","","","","","","","","Neomark Oral Cancer Ontology, version 4",""
"322","322","NIGO","","","","","","","","","","Neural-Immune Gene Ontology",""
"323","323","OBOE-SBC","","","","","","","","","","Santa Barbara Coastal Observation Ontology",""
"324","324","ORTHO","","","","","","","","","","Ortholog Ontology",""
"325","325","APACOMPUTER","","","","","","","","","","Computer Cluster",""
"326","326","REPO","","","","","","","","","","Reproductive Trait and Phenotype Ontology",""
"327","327","FLOPO","","","","","","","","","","Flora Phenotype Ontology",""
"328","328","APATREATMENT","","","","","","","","","","APA Treatment Cluster",""
"329","329","BSAO","","","","","","","","","","Botryllus schlosseri anatomy and development ontology",""
"330","330","VSO","","","","","","","","","","Vital Sign Ontology",""
"331","331","HC","","","","","","","","","","Habronattus Courtship Ontology",""
"332","332","OMIM","","","","","","","","","","Online Mendelian Inheritance in Man",""
"333","333","CN","","","","","","","","","","computer network",""
"334","334","VANDF","","","","","","","","","","Veterans Health Administration National Drug File",""
"335","335","INO","","","","","","","","","","Interaction Network Ontology",""
"336","336","DIAB","","","","","","","","","","BioMedBridges Diabetes Ontology",""
"337","337","MAMO","","","","","","","","","","Mathematical Modelling Ontology",""
"338","338","MSO","","","","","","","","","","Multiple sclerosis ontology",""
"339","339","CSSO","","","","","","","","","","Clinical Signs and Symptoms Ontology",""
"340","340","BIM","","","","","","","","","","Biomedical Image Ontology",""
"341","341","EP","","","","","","","","","","Cardiac Electrophysiology Ontology",""
"342","342","SSO","","","","","","","","","","Syndromic Surveillance Ontology",""
"343","343","ATO","","","","","","","","","","Amphibian Taxonomy Ontology",""
"344","344","UBERON","","","","","","","","","","Uber Anatomy Ontology",""
"345","345","MFOEM","","","","","","","","","","Emotion Ontology",""
"346","346","ONTOLURGENCES","","","","","","","","","","Emergency care ontology",""
"347","347","ACGT-MO","","","","","","","","","","Cancer Research and Management ACGT Master Ontology",""
"348","348","TOK","","","","","","","","","","Terminological and Ontological Knowledge Resources Ontology",""
"349","349","MIXS","","","","","","","","","","Minimal Information about any Sequence Ontology",""
"350","350","MFO","","","","","","","","","","Medaka Fish Anatomy and Development Ontology",""
"351","351","ELIG","","","","","","","","","","Eligibility Feature Hierarchy",""
"352","352","OGG-MM","","","","","","","","","","Ontology of Genes and Genomes - Mouse",""
"353","353","STATO","","","","","","","","","","Statistics Ontology",""
"354","354","PTS","","","","","","","","","","Pathway Terminology System",""
"355","355","CHMO","","","","","","","","","","Chemical Methods Ontology",""
"356","356","ECO","","","","","","","","","","Evidence Ontology",""
"357","357","EO","","","","","","","","","","Ethnicity Ontoloy",""
"358","358","PDO","","","","","","","","","","Pathogenic Disease Ontology",""
"359","359","DOCCC","","","","","","","","","","Diagnosis Ontology of Clinical Care Classification",""
"360","360","CPT","","","","","","","","","","Current Procedural Terminology",""
"361","361","ONL-DP","","","","","","","","","","Dataset processing",""
"362","362","APATANDT","","","","","","","","","","APA Tests and Testing cluster",""
"363","363","SYN","","","","","","","","","","Sage Bionetworks Synapse Ontology",""
"364","364","LEGALAPA","","","","","","","","","","legalapa",""
"365","365","SEP","","","","","","","","","","Sample Processing and Separation Techniques Ontology",""
"366","366","APAOCUEMPLOY","","","","","","","","","","APA Occupational and Employment cluster",""
"367","367","EHDAA2","","","","","","","","","","Human Developmental Anatomy Ontology, abstract version 2",""
"368","368","AEO","","","","","","","","","","Anatomical Entity Ontology",""
"369","369","PIERO","","","","","","","","","","Enzyme Reaction Ontology for annotating Partial Information of chemical transformation",""
"370","370","ORDO","","","","","","","","","","Orphanet Rare Disease Ontology",""
"371","371","RETO","","","","","","","","","","Regulation of Transcription Ontology",""
"372","372","IAO","","","","","","","","","","Information Artifact Ontology",""
"373","373","ADW","","","","","","","","","","Animal Natural History and Life History Ontology",""
"374","374","OPE","","","","","","","","","","Ontology of Physical Exercises",""
"375","375","KISAO","","","","","","","","","","Kinetic Simulation Algorithm Ontology",""
