position	originalpos	primaryprefix	altprefixes	localid	iri	resolvingns	humanhtml	homepage	description	title	registry
24	24	bbc			http://www.bbc.co.uk/ontologies/bbc	http://www.bbc.co.uk/ontologies/bbc/				BBC Ontology	LOV
25	25	bbccms			http://www.bbc.co.uk/ontologies/cms	http://www.bbc.co.uk/ontologies/cms/				BBC CMS Ontology	LOV
26	26	bbccore			http://www.bbc.co.uk/ontologies/coreconcepts	http://www.bbc.co.uk/ontologies/coreconcepts/				BBC Core Concepts	LOV
27	27	bbcprov			http://www.bbc.co.uk/ontologies/provenance	http://www.bbc.co.uk/ontologies/provenance/				BBC Provenance Ontology	LOV
28	28	being			http://contextus.net/ontology/ontomedia/ext/common/being#	http://contextus.net/ontology/ontomedia/ext/common/being#				OntoMedia Being Representation	LOV
29	29	bevon			http://rdfs.co/bevon/	http://rdfs.co/bevon/				BEVON: Beverage Ontology	LOV
30	30	bf			http://bibframe.org/vocab	http://bibframe.org/vocab/				BIBFRAME Vocabulary	LOV
31	31	bibo			http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/				The Bibliographic Ontology	LOV
32	32	bibtex			http://purl.org/net/nknouf/ns/bibtex	http://purl.org/net/nknouf/ns/bibtex#				BibTeX ontology	LOV
33	33	bio			http://purl.org/vocab/bio/0.1/	http://purl.org/vocab/bio/0.1/				BIO: A vocabulary for biographical information	LOV
34	34	biol			http://purl.org/NET/biol/ns#	http://purl.org/NET/biol/ns#				Biological Taxonomy Vocabulary 0.2 (Core)	LOV
35	35	biopax			http://www.biopax.org/release/biopax-level3.owl	http://www.biopax.org/release/biopax-level3.owl#				BioPAX Level 3 ontology	LOV
36	36	biotop			http://purl.org/biotop/biotop.owl	http://purl.org/biotop/biotop.owl#				BioTop	LOV
37	37	biro			http://purl.org/spar/biro	http://purl.org/spar/biro/				The Bibliographic Reference Ontology	LOV
38	38	blt			http://www.bl.uk/schemas/bibliographic/blterms	http://www.bl.uk/schemas/bibliographic/blterms#				British Library Terms RDF schema	LOV
39	39	botany			http://purl.org/NET/biol/botany#	http://purl.org/NET/biol/botany#				Biological Taxonomy Vocabulary 0.2 (Botany)	LOV
40	40	br			http://vocab.deri.ie/br	http://vocab.deri.ie/br#				Brainstorm Ontology	LOV
41	41	c4n			http://vocab.deri.ie/c4n	http://vocab.deri.ie/c4n#				Call for Anything vocabulary	LOV
42	42	c4o			http://purl.org/spar/c4o	http://purl.org/spar/c4o/				"C4O, the Citation Counting and Context Characterization Ontology"	LOV
43	43	cal			http://www.w3.org/2002/12/cal/ical	http://www.w3.org/2002/12/cal/ical#				Internet Calendaring and Scheduling Core Object Specification	LOV
44	44	cart			http://purl.org/net/cartCoord#	http://purl.org/net/cartCoord#				cartCoordOnt	LOV
45	45	cbo			http://comicmeta.org/cbo/	http://comicmeta.org/cbo/				Comic Book Ontology	LOV
46	46	cc			http://creativecommons.org/ns	http://creativecommons.org/ns#				Creative Commons Rights Expression Language	LOV
47	47	cco			http://purl.org/ontology/cco/core#	http://purl.org/ontology/cco/core#				Cognitive Characteristics Ontology	LOV
48	48	cdm			http://purl.org/twc/ontology/cdm.owl#	http://purl.org/twc/ontology/cdm.owl#				Conceptual Depth and Momentum	LOV
49	49	cdtype			http://purl.org/cld/cdtype/	http://purl.org/cld/cdtype/				The Collection Description Type Namespace	LOV
50	50	ceo			http://www.ebusiness-unibw.org/ontologies/consumerelectronics/v1	http://www.ebusiness-unibw.org/ontologies/consumerelectronics/v1#				Consumer Electronics Ontology	LOV
51	51	cerif			http://www.eurocris.org/ontologies/cerif/1.3	http://www.eurocris.org/ontologies/cerif/1.3#				CERIF Ontology 1.3	LOV
52	52	cert			http://www.w3.org/ns/auth/cert#	http://www.w3.org/ns/auth/cert#				The Cert Ontology	LOV
53	53	cff			http://purl.oclc.org/NET/ssnx/cf/cf-feature	http://purl.oclc.org/NET/ssnx/cf/cf-feature#				Climate and Forecast (CF) features	LOV
54	54	cfp			http://purl.oclc.org/NET/ssnx/cf/cf-property	http://purl.oclc.org/NET/ssnx/cf/cf-property#				Climate and Forecast (CF) standard names parameter vocabulary	LOV
55	55	cgov			http://reference.data.gov.uk/def/central-government	http://reference.data.gov.uk/def/central-government/				Central Government Ontology	LOV
56	56	chord			http://purl.org/ontology/chord/	http://purl.org/ontology/chord/				The OMRAS2 Chord Ontology	LOV
57	57	cito			http://purl.org/spar/cito/	http://purl.org/spar/cito/				"CiTO, the Citation Typing Ontology"	LOV
58	58	citof			http://www.essepuntato.it/2013/03/cito-functions	http://www.essepuntato.it/2013/03/cito-functions/				Functions of Citations	LOV
59	59	cl			http://advene.org/ns/cinelab/ld	http://advene.org/ns/cinelab/ld#				Cinelab ontology	LOV
60	60	cld			http://purl.org/cld/terms/	http://purl.org/cld/terms/				The Collection Description Terms	LOV
61	61	cmo			http://purl.org/twc/ontologies/cmo.owl	http://purl.org/twc/ontologies/cmo.owl#				Conceptual Model Ontology	LOV
62	62	cnt			http://www.w3.org/2011/content	http://www.w3.org/2011/content#				Representing Content in RDF	LOV
63	63	co			http://purl.org/ontology/co/core#	http://purl.org/ontology/co/core#				Counter Ontology	LOV
64	64	cogs			http://vocab.deri.ie/cogs	http://vocab.deri.ie/cogs#				COGS Vocabulary	LOV
65	65	cold			http://purl.org/configurationontology	http://purl.org/configurationontology#				'Configuration as Linked Data' ontology	LOV
66	66	coll			http://purl.org/co	http://purl.org/co/				Collections Ontology	LOV
67	67	comm			http://vocab.resc.info/communication	http://vocab.resc.info/communication#				Vocabulary related to incident communication	LOV
68	68	con			http://www.w3.org/2000/10/swap/pim/contact	http://www.w3.org/2000/10/swap/pim/contact#				Contact	LOV
69	69	conversion			http://purl.org/twc/vocab/conversion/	http://purl.org/twc/vocab/conversion/				Conversion Ontology	LOV
70	70	coo			http://purl.org/coo/ns#	http://purl.org/coo/ns#				Car Options Ontology	LOV
71	71	coun			http://www.daml.org/2001/09/countries/iso-3166-ont	http://www.daml.org/2001/09/countries/iso-3166-ont#				ISO 3166 Country Codes	LOV
72	72	cpa			http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl	http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#				Content Pattern Annotations	LOV
73	73	crm			http://www.cidoc-crm.org/cidoc-crm/	http://www.cidoc-crm.org/cidoc-crm/				CIDOC Conceptual Reference Model	LOV
74	74	cro			http://rhizomik.net/ontologies/copyrightonto.owl	http://rhizomik.net/ontologies/copyrightonto.owl#				Copyright Ontology	LOV
75	75	crsw			http://courseware.rkbexplorer.com/ontologies/courseware	http://courseware.rkbexplorer.com/ontologies/courseware#				ReSIST Courseware Ontology	LOV
76	76	cs			http://purl.org/vocab/changeset/schema	http://purl.org/vocab/changeset/schema#				Changeset	LOV
77	77	csp			http://vocab.deri.ie/csp	http://vocab.deri.ie/csp#				Constraint Satisfaction Problems Vocabulary	LOV
78	78	ct			http://www.tele.pw.edu.pl/~sims-onto/ConnectivityType.owl	http://www.tele.pw.edu.pl/~sims-onto/ConnectivityType.owl#				Connectivity types	LOV
79	79	ctag			http://commontag.org/ns#	http://commontag.org/ns#				Common Tag Vocabulary	LOV
80	80	ctorg			http://purl.org/ctic/infraestructuras/organizacion	http://purl.org/ctic/infraestructuras/organizacion#				Vocabulario de la estructura de organismos p̼blicos	LOV
81	80	ctorg			http://purl.org/ctic/infraestructuras/organizacion	http://purl.org/ctic/infraestructuras/organizacion#				Vocabulary for the structure of the public organizations	LOV
82	81	ctxdesc			http://www.demcare.eu/ontologies/contextdescriptor.owl	http://www.demcare.eu/ontologies/contextdescriptor.owl#				Context Descriptor Pattern	LOV
83	82	cwork			http://www.bbc.co.uk/ontologies/creativework	http://www.bbc.co.uk/ontologies/creativework/				Creative Work Ontology	LOV
84	83	d2rq			http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1	http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1#				D2RQ - Language Specification	LOV
85	84	dady			http://vocab.deri.ie/dady	http://purl.org/NET/dady#				Dataset Dynamics (dady) vocabulary	LOV
86	85	daia			http://purl.org/ontology/daia	http://purl.org/ontology/daia/				Document Availability Information Ontology	LOV
87	86	daq			http://purl.org/eis/vocab/daq#	http://purl.org/eis/vocab/daq#				Dataset Quality Vocabulary	LOV
88	87	date			http://contextus.net/ontology/ontomedia/misc/date#	http://contextus.net/ontology/ontomedia/misc/date#				OntoMedia Date Part Representation	LOV
89	88	dbpedia-owl			http://dbpedia.org/ontology/	http://dbpedia.org/ontology/				The DBpedia Ontology	LOV
90	89	dbug			http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#				DOAP Bugs	LOV
91	90	dcam			http://purl.org/dc/dcam/	http://purl.org/dc/dcam/				DCMI Abstract Model	LOV
92	91	dcat			http://www.w3.org/ns/dcat	http://www.w3.org/ns/dcat#				Data Catalog Vocabulary	LOV
93	92	dce			http://purl.org/dc/elements/1.1/	http://purl.org/dc/elements/1.1/				Dublin Core Metadata Element Set	LOV
94	93	dcite			http://purl.org/spar/datacite	http://purl.org/spar/datacite/				The DataCite Ontology	LOV
95	94	dcndl			http://ndl.go.jp/dcndl/terms/	http://ndl.go.jp/dcndl/terms/				NDL Metadata Terms	LOV
96	95	dcterms			http://purl.org/dc/terms/	http://purl.org/dc/terms/				DCMI Metadata Terms	LOV
97	96	dctype			http://purl.org/dc/dcmitype/	http://purl.org/dc/dcmitype/				DCMI Type Vocabulary	LOV
98	97	decision			https://decision-ontology.googlecode.com/svn/trunk/decision.owl	https://decision-ontology.googlecode.com/svn/trunk/decision.owl#				Decision ontology	LOV
99	98	demlab			http://www.demcare.eu/ontologies/demlab.owl	http://www.demcare.eu/ontologies/demlab.owl#				Dem@Care Lab Ontology for Dementia Assessment	LOV
100	99	deo			http://purl.org/spar/deo	http://purl.org/spar/deo/				The Discourse Elements Ontology	LOV
101	100	deps			http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#				DOAP Dependencies	LOV
102	101	dicom			http://purl.org/healthcarevocab/v1	http://purl.org/healthcarevocab/v1#				Healthcare metadata - DICOM ontology	LOV
103	102	disco			http://rdf-vocabulary.ddialliance.org/discovery	http://rdf-vocabulary.ddialliance.org/discovery#				DDI-RDF Discovery Vocabulary	LOV
104	103	dita			http://purl.org/dita/ns#	http://purl.org/dita/ns#				DITA RDF ontology	LOV
105	104	dm2e			http://onto.dm2e.eu/schemas/dm2e	http://onto.dm2e.eu/schemas/dm2e/				DM2E model	LOV
106	105	doap			http://usefulinc.com/ns/doap#	http://usefulinc.com/ns/doap#				Description of a Project vocabulary	LOV
107	106	doc			http://www.w3.org/2000/10/swap/pim/doc	http://www.w3.org/2000/10/swap/pim/doc#				"Works, licences, derivatives and dependencies"	LOV
108	107	doco			http://purl.org/spar/doco	http://purl.org/spar/doco/				"DoCO, the Document Components Ontology"	LOV
109	108	docso			http://purl.org/ontology/dso	http://purl.org/ontology/dso#				Document Service Ontology	LOV
110	109	dogont			http://elite.polito.it/ontologies/dogont.owl	http://elite.polito.it/ontologies/dogont				Ontology Modeling for Intelligent Domotic Environments	LOV
111	110	dq			http://def.seegrid.csiro.au/isotc211/iso19115/2003/dataquality	http://def.seegrid.csiro.au/isotc211/iso19115/2003/dataquality#				OWL representation of ISO 19115 (Geographic Information - Metadata - Data quality package)	LOV
112	111	dqc			http://semwebquality.org/ontologies/dq-constraints	http://semwebquality.org/ontologies/dq-constraints#				The Data Quality Constraints Library	LOV
113	112	dqm			http://purl.org/dqm-vocabulary/v1/dqm	http://purl.org/dqm-vocabulary/v1/dqm#				The Data Quality Management Vocabulary	LOV
114	113	dr			http://purl.org/swan/2.0/discourse-relationships/	http://purl.org/swan/2.0/discourse-relationships/				Discourse relationships vocabulary	LOV
115	114	drm			http://vocab.data.gov/def/drm	http://vocab.data.gov/def/drm#				Data Reference Model	LOV
116	115	ds			http://purl.org/ctic/dcat#	http://purl.org/ctic/dcat#				Dataset Catalog Vocabulary	LOV
117	116	dsn			http://purl.org/dsnotify/vocab/eventset/	http://purl.org/dsnotify/vocab/eventset/				DSNotify Eventsets: A vocabulary for change events in linked data sources	LOV
118	117	dso			http://inference-web.org/2.0/ds.owl	http://inference-web.org/2.0/ds.owl#				Data Structure Ontology	LOV
119	118	dtype			http://www.linkedmodel.org/schema/dtype	http://www.linkedmodel.org/schema/dtype#				Datatype Ontology	LOV
120	119	dul			http://www.ontologydesignpatterns.org/ont/dul/DUL.owl	http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#				DOLCE+DnS Ultralite	LOV
121	120	dvia			http://purl.org/ontology/dvia	http://purl.org/ontology/dvia#				The visualization vocabulary for LOD applications	LOV
122	121	eac-cpf			http://archivi.ibc.regione.emilia-romagna.it/ontology/eac-cpf/	http://archivi.ibc.regione.emilia-romagna.it/ontology/eac-cpf/				EAC-CPF Descriptions Ontology for Linked Archival Data:	LOV
123	122	earl			http://www.w3.org/ns/earl	http://www.w3.org/ns/earl#				Evaluation and Report Language	LOV
124	123	ebucore			http://www.ebu.ch/metadata/ontologies/ebucore/ebucore	http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#				EBU Ontology	LOV
125	124	eclap			http://www.eclap.eu/schema/eclap/	http://www.eclap.eu/schema/eclap/				"ECLAP, Performing Arts Vocabulary"	LOV
126	125	ecpo			http://purl.org/ontology/ecpo	http://purl.org/ontology/ecpo#				Enumeration and Chronology of Periodicals Ontology	LOV
127	126	ecrm			http://erlangen-crm.org/current/	http://erlangen-crm.org/current/				Erlangen CRM / OWL	LOV
128	127	edm			http://www.europeana.eu/schemas/edm/	http://www.europeana.eu/schemas/edm/				Europeana Data Model vocabulary	LOV
129	128	eem			http://purl.org/eem	http://purl.org/eem#				The EPCIS Event Model	LOV
130	129	elec			http://purl.org/ctic/sector-publico/elecciones	http://purl.org/ctic/sector-publico/elecciones#				Vocabulario de Resultados Electorales	LOV
131	129	elec			http://purl.org/ctic/sector-publico/elecciones	http://purl.org/ctic/sector-publico/elecciones#				Vocabulary for Vote Results	LOV
132	130	emotion			http://ns.inria.fr/emoca	http://ns.inria.fr/emoca#				Emotion Ontology for Context Awareness	LOV
133	131	emp			http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#				Vocabulario de Ofertas de Empleo	LOV
134	132	ends			http://labs.mondeca.com/vocab/endpointStatus	http://labs.mondeca.com/vocab/endpointStatus#				"Vocabulary of endpoint status (availability, responseTime)"	LOV
135	133	ep			http://eprints.org/ontology/	http://eprints.org/ontology/				EPrints Ontology	LOV
136	134	essglobal			http://purl.org/essglobal/vocab/	http://purl.org/essglobal/vocab/				ESSGlobal Vocabulary	LOV
137	135	event			http://purl.org/NET/c4dm/event.owl	http://purl.org/NET/c4dm/event.owl#				The Event Ontology	LOV
138	136	ex			http://purl.org/net/ns/ex	http://purl.org/net/ns/ex#				Example vocabulary	LOV
139	137	exif			http://www.w3.org/2003/12/exif/ns	http://www.w3.org/2003/12/exif/ns#				Exif data description vocabulary	LOV
140	138	ext			http://def.seegrid.csiro.au/isotc211/iso19115/2003/extent	http://def.seegrid.csiro.au/isotc211/iso19115/2003/extent#				OWL representation of ISO 19115 (Geographic Information - Metadata - Extent package)	LOV
141	139	fabio			http://purl.org/spar/fabio/	http://purl.org/spar/fabio/				FRBR-aligned Bibliographic Ontology	LOV
142	140	fea			http://vocab.data.gov/def/fea	http://vocab.data.gov/def/fea#				Federal Enterprise Architecture Vocabulary	LOV
143	141	foaf			http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/				Friend of a Friend vocabulary	LOV
144	142	food			http://data.lirmm.fr/ontologies/food	http://data.lirmm.fr/ontologies/food#				Food Ontology	LOV
145	143	fowl			http://www.w3.org/TR/2003/PR-owl-guide-20031215/food	http://www.w3.org/TR/2003/PR-owl-guide-20031209/food#				Food Ontology in OWL	LOV
146	144	frad			http://iflastandards.info/ns/fr/frad/	http://iflastandards.info/ns/fr/frad/				FRAD model	LOV
147	145	frapo			http://purl.org/cerif/frapo/	http://purl.org/cerif/frapo/				"Funding, Research Administration and Projects Ontology"	LOV
148	146	frappe			http://streamreasoning.org/ontologies/frappe#	http://streamreasoning.org/ontologies/frappe#				"FraPPE: Frame, Pixel, Place, Event vocabulary"	LOV
149	147	frbr			http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#				Expression of Core FRBR Concepts in RDF	LOV
150	148	frbre			http://purl.org/vocab/frbr/extended	http://purl.org/vocab/frbr/extended#				Extended FRBR	LOV
151	149	frbrer			http://iflastandards.info/ns/fr/frbr/frbrer/	http://iflastandards.info/ns/fr/frbr/frbrer/				FRBRer model	LOV
152	150	fresnel			http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#				Fresnel Lens and Format Core Vocabulary	LOV
153	151	g50k			http://data.ordnancesurvey.co.uk/ontology/50kGazetteer/	http://data.ordnancesurvey.co.uk/ontology/50kGazetteer/				50K Gazetteer Vocabulary	LOV
154	152	game			http://data.totl.net/game/	http://data.totl.net/game/				TotL Game Ontology	LOV
155	153	gc			http://www.oegov.org/core/owl/gc	http://www.oegov.org/core/owl/gc#				oeGOV Government Core Ontology	LOV
156	154	gci			http://ontology.eil.utoronto.ca/GCI/Foundation/GCI-Foundation.owl	http://ontology.eil.utoronto.ca/GCI/Foundation/GCI-Foundation.owl#				Global City Indicator Foundation Ontology	LOV
157	155	gd			http://vocab.data.gov/gd	http://reference.data.gov/def/govdata/				Government Data Vocabulary	LOV
158	156	gen			http://purl.org/gen/0.1#	http://purl.org/gen/0.1#				Vocabulary for Linked Genealogical Data	LOV
159	157	geo			http://www.w3.org/2003/01/geo/wgs84_pos	http://www.w3.org/2003/01/geo/wgs84_pos#				WGS84 Geo Positioning	LOV
160	158	geod			http://vocab.lenka.no/geo-deling	http://vocab.lenka.no/geo-deling#				Landinndelingen i Norge	LOV
161	159	geof			http://www.mindswap.org/2003/owl/geo/geoFeatures20040307.owl	http://www.mindswap.org/2003/owl/geo/geoFeatures20040307.owl#				Geo Features	LOV
162	160	geofla			http://data.ign.fr/def/geofla	http://data.ign.fr/def/geofla#				Ontologie des unit̩s administratives de l'IGN	LOV
163	160	geofla			http://data.ign.fr/def/geofla	http://data.ign.fr/def/geofla#				Ontology of administrative units at IGN-France	LOV
164	161	geom			http://data.ign.fr/def/geometrie	http://data.ign.fr/def/geometrie#				Ontologie des primitives g̩om̩triques	LOV
165	162	geop			http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#				FAO Geopolitical Ontology	LOV
166	163	geosp			http://rdf.geospecies.org/ont/geospecies	http://rdf.geospecies.org/ont/geospecies#				GeoSpecies Ontology	LOV
167	164	gf			http://def.seegrid.csiro.au/isotc211/iso19109/2005/feature	http://def.seegrid.csiro.au/isotc211/iso19109/2005/feature#				OWL representation of ISO 19109 (General Feature Model)	LOV
168	165	gm			http://def.seegrid.csiro.au/isotc211/iso19107/2003/geometry	http://def.seegrid.csiro.au/isotc211/iso19107/2003/geometry#				OWL representation of ISO 19107 (Geographic Information)	LOV
169	166	gml			http://www.opengis.net/ont/gml	http://www.opengis.net/ont/gml#				OGC Geometry	LOV
170	167	gn			http://www.geonames.org/ontology	http://www.geonames.org/ontology#				The Geonames ontology	LOV
171	168	gndo			http://d-nb.info/standards/elementset/gnd#	http://d-nb.info/standards/elementset/gnd#				GND Ontology	LOV
172	168	gndo			http://d-nb.info/standards/elementset/gnd#	http://d-nb.info/standards/elementset/gnd#				GND-Ontologie	LOV
173	169	gold			http://purl.org/linguistics/gold	http://purl.org/linguistics/gold/				General Ontology for Linguistic Description	LOV
174	170	gov			http://gov.genealogy.net/ontology.owl	http://gov.genealogy.net/ontology.owl#				Ontology for modelling historic administrative information.	LOV
175	170	gov			http://gov.genealogy.net/ontology.owl	http://gov.genealogy.net/ontology.owl#				Ontologie zur Modellierung historischer Verwaltungsinformationen.	LOV
176	171	gr			http://purl.org/goodrelations/v1	http://purl.org/goodrelations/v1#				The GoodRelations Ontology for Semantic Web-based E-Commerce	LOV
177	172	grddl			http://www.w3.org/2003/g/data-view	http://www.w3.org/2003/g/data-view#				Gleaning Resource Descriptions from Dialects of Languages Vocabulary	LOV
178	173	gso			http://www.w3.org/2006/gen/ont	http://www.w3.org/2006/gen/ont#				Generic Specific Ontology	LOV
179	174	gsp			http://www.opengis.net/ont/geosparql	http://www.opengis.net/ont/geosparql#				OGC GeoSPARQL	LOV
180	175	gtfs			http://vocab.gtfs.org/terms#	http://vocab.gtfs.org/terms#				General Transit Feed Specification	LOV
181	176	gts			http://resource.geosciml.org/ontology/timescale/gts	http://resource.geosciml.org/ontology/timescale/gts#				Geologic Timescale model	LOV
182	177	gvp			http://vocab.getty.edu/ontology	http://vocab.getty.edu/ontology#				Getty Vocabulary Program ontology	LOV
183	178	h2o			http://def.seegrid.csiro.au/isotc211/iso19150/-2/2012/basic	http://def.seegrid.csiro.au/isotc211/iso19150/-2/2012/basic#				Ontology for conversion of ISO/TC 211	LOV
184	179	ha			http://sensormeasurement.appspot.com/ont/home/homeActivity#	http://sensormeasurement.appspot.com/ont/home/homeActivity#				Home Activity	LOV
185	180	hdo			http://www.samos.gr/ontologies/helpdeskOnto.owl	http://www.samos.gr/ontologies/helpdeskOnto.owl#				HelpDesk support Ontology	LOV
186	181	holding			http://purl.org/ontology/holding	http://purl.org/ontology/holding#				Holding Ontology	LOV
187	182	hr			http://iserve.kmi.open.ac.uk/ns/hrests	http://iserve.kmi.open.ac.uk/ns/hrests#				hRESTS Ontology	LOV
188	183	http			http://www.w3.org/2011/http	http://www.w3.org/2011/http#				HTTP in RDF	LOV
189	184	hw			https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl				Home Weather	LOV
190	185	hydra			http://www.w3.org/ns/hydra/core	http://www.w3.org/ns/hydra/core#				The Hydra Core Vocabulary	LOV
191	186	ic			http://ontology.eil.utoronto.ca/icontact.owl	http://ontology.eil.utoronto.ca/icontact.owl#				"International Contact Ontology: Addresses, phone numbers and emails."	LOV
192	187	idemo			http://rdf.insee.fr/def/demo	http://rdf.insee.fr/def/demo#				Ontologie d̩mographique de l'INSEE	LOV
193	188	identity			http://www.ecole.ensicaen.fr/~vincentj/owl/id.owl	http://www.ecole.ensicaen.fr/~vincentj/owl/id.owl				Ontology of digital identity.	LOV
194	189	igeo			http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#				Ontologie g̩ographique de l'INSEE	LOV
195	189	igeo			http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#				French Statistical ontology for geolocation	LOV
196	190	ignf			http://data.ign.fr/def/ignf	http://data.ign.fr/def/ignf#				Ontologie des syst̬mes de coordonn̩es de r̩f̩rence	LOV
197	190	ignf			http://data.ign.fr/def/ignf	http://data.ign.fr/def/ignf#				Ontology of coordinates reference systems	LOV
198	191	incident			http://vocab.resc.info/incident	http://vocab.resc.info/incident#				Vocabulary to describe incident response by emergency services	LOV
199	192	infor			http://www.ontologydesignpatterns.org/cp/owl/informationrealization.owl	http://www.ontologydesignpatterns.org/cp/owl/informationrealization.owl#				Information Realization	LOV
200	193	inno			http://purl.org/innovation/ns	http://purl.org/innovation/ns#				Ontology for Innovation	LOV
201	194	interval			http://reference.data.gov.uk/def/intervals	http://reference.data.gov.uk/def/intervals/				Intervals Ontology	LOV
202	195	iol			http://www.ontologydesignpatterns.org/ont/dul/IOLite.owl	http://www.ontologydesignpatterns.org/ont/dul/IOLite.owl#				Information Objects ontology	LOV
203	196	ipo			http://purl.org/ipo/core	http://purl.org/ipo/core#				IPO - Issue Procedure Ontology	LOV
204	197	irw			http://www.ontologydesignpatterns.org/ont/web/irw.owl	http://www.ontologydesignpatterns.org/ont/web/irw.owl#				The Identity of Resources on the Web ontology	LOV
205	198	is			http://purl.org/ontology/is/core#	http://purl.org/ontology/is/core#				Info Service Ontology	LOV
206	199	isbd			http://iflastandards.info/ns/isbd/elements/	http://iflastandards.info/ns/isbd/elements/				ISBD elements	LOV
207	200	iso-thes			http://purl.org/iso25964/skos-thes	http://purl.org/iso25964/skos-thes#				ISO 25964 SKOS extension	LOV
208	201	iso37120			http://ontology.eil.utoronto.ca/ISO37120.owl	http://ontology.eil.utoronto.ca/ISO37120.owl#				ISO 37120 indicator URIs	LOV
209	202	itm			http://spi-fm.uca.es/spdef/models/genericTools/itm/1.0	http://spi-fm.uca.es/spdef/models/genericTools/itm/1.0#				Issue Tracking tool Model	LOV
